trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2024-10-11,AAPL,0.144,2024-10-11T16:00:00,AAPL,0.144
2024-10-11,MSFT,0.128,2024-10-11T16:00:00,MSFT,0.128
2024-10-11,NVDA,0.128,2024-10-11T16:00:00,NVDA,0.128
2024-10-11,AMZN,0.08,2024-10-11T16:00:00,AMZN,0.08
2024-10-11,META,0.08,2024-10-11T16:00:00,META,0.08
2024-10-11,GOOGL,0.04,2024-10-11T16:00:00,GOOGL,0.04
2024-10-11,GOOG,0.04,2024-10-11T16:00:00,GOOG,0.04
2024-10-11,TSLA,0.048,2024-10-11T16:00:00,TSLA,0.048
2024-10-11,AVGO,0.048,2024-10-11T16:00:00,AVGO,0.048
2024-10-11,COST,0.032,2024-10-11T16:00:00,COST,0.032
2024-10-11,NFLX,0.024,2024-10-11T16:00:00,NFLX,0.024
2024-10-11,AMD,0.024,2024-10-11T16:00:00,AMD,0.024
2024-10-11,ADBE,0.016,2024-10-11T16:00:00,ADBE,0.016
2024-10-11,QCOM,0.032,2024-10-11T16:00:00,QCOM,0.032
2024-10-11,PEP,0.024,2024-10-11T16:00:00,PEP,0.024
2024-10-11,INTU,0.032,2024-10-11T16:00:00,INTU,0.032
2024-10-11,CSCO,0.024,2024-10-11T16:00:00,CSCO,0.024
2024-10-11,TXN,0.024,2024-10-11T16:00:00,TXN,0.024
2024-10-11,AMGN,0.016,2024-10-11T16:00:00,AMGN,0.016
2024-10-11,AMAT,0.016,2024-10-11T16:00:00,AMAT,0.016
