trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2022-05-20,AAPL,0.144,2022-05-20T16:00:00,AAPL,0.144
2022-05-20,MSFT,0.128,2022-05-20T16:00:00,MSFT,0.128
2022-05-20,NVDA,0.128,2022-05-20T16:00:00,NVDA,0.128
2022-05-20,AMZN,0.08,2022-05-20T16:00:00,AMZN,0.08
2022-05-20,META,0.08,2022-05-20T16:00:00,META,0.08
2022-05-20,GOOGL,0.04,2022-05-20T16:00:00,GOOGL,0.04
2022-05-20,GOOG,0.04,2022-05-20T16:00:00,GOOG,0.04
2022-05-20,TSLA,0.048,2022-05-20T16:00:00,TSLA,0.048
2022-05-20,AVGO,0.048,2022-05-20T16:00:00,AVGO,0.048
2022-05-20,COST,0.032,2022-05-20T16:00:00,COST,0.032
2022-05-20,NFLX,0.024,2022-05-20T16:00:00,NFLX,0.024
2022-05-20,AMD,0.024,2022-05-20T16:00:00,AMD,0.024
2022-05-20,ADBE,0.016,2022-05-20T16:00:00,ADBE,0.016
2022-05-20,QCOM,0.032,2022-05-20T16:00:00,QCOM,0.032
2022-05-20,PEP,0.024,2022-05-20T16:00:00,PEP,0.024
2022-05-20,INTU,0.032,2022-05-20T16:00:00,INTU,0.032
2022-05-20,CSCO,0.024,2022-05-20T16:00:00,CSCO,0.024
2022-05-20,TXN,0.024,2022-05-20T16:00:00,TXN,0.024
2022-05-20,AMGN,0.016,2022-05-20T16:00:00,AMGN,0.016
2022-05-20,AMAT,0.016,2022-05-20T16:00:00,AMAT,0.016
