trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2025-03-28,AAPL,0.144,2025-03-28T16:00:00,AAPL,0.144
2025-03-28,MSFT,0.128,2025-03-28T16:00:00,MSFT,0.128
2025-03-28,NVDA,0.128,2025-03-28T16:00:00,NVDA,0.128
2025-03-28,AMZN,0.08,2025-03-28T16:00:00,AMZN,0.08
2025-03-28,META,0.08,2025-03-28T16:00:00,META,0.08
2025-03-28,GOOGL,0.04,2025-03-28T16:00:00,GOOGL,0.04
2025-03-28,GOOG,0.04,2025-03-28T16:00:00,GOOG,0.04
2025-03-28,TSLA,0.048,2025-03-28T16:00:00,TSLA,0.048
2025-03-28,AVGO,0.048,2025-03-28T16:00:00,AVGO,0.048
2025-03-28,COST,0.032,2025-03-28T16:00:00,COST,0.032
2025-03-28,NFLX,0.024,2025-03-28T16:00:00,NFLX,0.024
2025-03-28,AMD,0.024,2025-03-28T16:00:00,AMD,0.024
2025-03-28,ADBE,0.016,2025-03-28T16:00:00,ADBE,0.016
2025-03-28,QCOM,0.032,2025-03-28T16:00:00,QCOM,0.032
2025-03-28,PEP,0.024,2025-03-28T16:00:00,PEP,0.024
2025-03-28,INTU,0.032,2025-03-28T16:00:00,INTU,0.032
2025-03-28,CSCO,0.024,2025-03-28T16:00:00,CSCO,0.024
2025-03-28,TXN,0.024,2025-03-28T16:00:00,TXN,0.024
2025-03-28,AMGN,0.016,2025-03-28T16:00:00,AMGN,0.016
2025-03-28,AMAT,0.016,2025-03-28T16:00:00,AMAT,0.016
