trade_date,ticker,weight,asof_timestamp,instrument_id,normalized_weight
2021-03-19,AAPL,0.144,2021-03-19T16:00:00,AAPL,0.144
2021-03-19,MSFT,0.128,2021-03-19T16:00:00,MSFT,0.128
2021-03-19,NVDA,0.128,2021-03-19T16:00:00,NVDA,0.128
2021-03-19,AMZN,0.08,2021-03-19T16:00:00,AMZN,0.08
2021-03-19,META,0.08,2021-03-19T16:00:00,META,0.08
2021-03-19,GOOGL,0.04,2021-03-19T16:00:00,GOOGL,0.04
2021-03-19,GOOG,0.04,2021-03-19T16:00:00,GOOG,0.04
2021-03-19,TSLA,0.048,2021-03-19T16:00:00,TSLA,0.048
2021-03-19,AVGO,0.048,2021-03-19T16:00:00,AVGO,0.048
2021-03-19,COST,0.032,2021-03-19T16:00:00,COST,0.032
2021-03-19,NFLX,0.024,2021-03-19T16:00:00,NFLX,0.024
2021-03-19,AMD,0.024,2021-03-19T16:00:00,AMD,0.024
2021-03-19,ADBE,0.016,2021-03-19T16:00:00,ADBE,0.016
2021-03-19,QCOM,0.032,2021-03-19T16:00:00,QCOM,0.032
2021-03-19,PEP,0.024,2021-03-19T16:00:00,PEP,0.024
2021-03-19,INTU,0.032,2021-03-19T16:00:00,INTU,0.032
2021-03-19,CSCO,0.024,2021-03-19T16:00:00,CSCO,0.024
2021-03-19,TXN,0.024,2021-03-19T16:00:00,TXN,0.024
2021-03-19,AMGN,0.016,2021-03-19T16:00:00,AMGN,0.016
2021-03-19,AMAT,0.016,2021-03-19T16:00:00,AMAT,0.016
