week_end,L_t,T_t,P_t,E_t,H_t,I_t,state_probs_json,state_label,d_t,a_t,g_t_raw,g_t_stress,s_t,drift_probe_raw,drift_flag,maha,huber_weight,eigval_1,eigval_2_raw,eigval_2_reg,condition_number_raw,condition_number_reg,eigval_2_was_floored,state_ok,is_warm
2000-01-07,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-01-14,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-01-21,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-01-28,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-02-04,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-02-11,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-02-18,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-02-25,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-03-03,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-03-10,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-03-17,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-03-24,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-03-31,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-04-07,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-04-14,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-04-21,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-04-28,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-05-05,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-05-12,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-05-19,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-05-26,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-06-02,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-06-09,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-06-16,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-06-23,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-06-30,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-07-07,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
2000-07-14,,,,,,,,WARMUP,,,,,,,0,0.0,1.0,0.0928011260844456,0.04498005711509976,0.04498005711509976,2.063161588411864,2.063161588411864,False,True,False
